        Time / ns                i1 (8)/real
               33.133091                   1.4716356e-08
                33.19693                   1.2853801e-08
               33.260773                   1.0788143e-08
               33.324612                    8.538767e-09
               33.388451                   6.1229528e-09
               33.452293                   3.5657048e-09
               33.516132                   8.9064767e-10
               33.579971                  -1.8781534e-09
               33.643814                  -4.7124535e-09
               33.707653                  -7.5818516e-09
               33.771492                  -1.0463426e-08
               33.835335                  -1.3323872e-08
               33.899174                  -1.6134598e-08
               33.963013                  -1.8870878e-08
               34.026855                  -2.1499819e-08
               34.090694                  -2.3996604e-08
               34.154533                  -2.6336139e-08
               34.218376                  -2.8491749e-08
               34.282215                  -3.0445072e-08
               34.346054                  -3.2172721e-08
               34.409897                  -3.3658136e-08
               34.473736                  -3.4885147e-08
               34.537575                  -3.5844504e-08
               34.601418                  -3.6521921e-08
               34.665257                  -3.6912166e-08
               34.729095                  -3.7013372e-08
               34.792938                  -3.6824119e-08
               34.856777                  -3.6347384e-08
               34.920616                  -3.5587878e-08
               34.984459                  -3.4556514e-08
               35.048298                  -3.3258459e-08
               35.112137                  -3.1717342e-08
                35.17598                  -2.9942886e-08
               35.239819                  -2.7956542e-08
               35.303658                  -2.5774996e-08
                 35.3675                  -2.3426589e-08
               35.431339                  -2.0932562e-08
               35.495178                  -1.8318271e-08
               35.559021                  -1.5609162e-08
                35.62286                  -1.2833488e-08
               35.686699                  -1.0016665e-08
               35.750542                  -7.1886075e-09
               35.814381                  -4.3732751e-09
                35.87822                  -1.5964566e-09
               35.942062                   1.1151705e-09
               36.005901                   3.7401464e-09
                36.06974                   6.2567471e-09
               36.133583                   8.6436653e-09
               36.197422                   1.0881148e-08
               36.261261                   1.2953645e-08
               36.325104                   1.4847057e-08
               36.388943                   1.6548917e-08
               36.452785                   1.8051372e-08
               36.516624                   1.9346267e-08
               36.580463                   2.0428891e-08
               36.644306                   2.1297621e-08
               36.708145                   2.1953962e-08
               36.771984                   2.2398861e-08
               36.835827                   2.2638542e-08
               36.899666                   2.2678572e-08
               36.963505                   2.2529353e-08
               37.027348                   2.2200684e-08
               37.091187                   2.1704892e-08
               37.155025                   2.1057161e-08
               37.218868                   2.0271431e-08
               37.282707                   1.9362435e-08
               37.346546                   1.8350082e-08
               37.410389                   1.7246384e-08
               37.474228                   1.6073805e-08
               37.538067                   1.4847417e-08
                37.60191                   1.3583789e-08
               37.665749                   1.2299788e-08
               37.729588                   1.1014173e-08
                37.79343                   9.7393675e-09
               37.857269                   8.4931155e-09
               37.921108                   7.2854953e-09
               37.984951                   6.1339573e-09
                38.04879                   5.0434141e-09
               38.112629                   4.0288177e-09
               38.176472                   3.0994194e-09
               38.240311                    2.258346e-09
                38.30415                   1.5118399e-09
               38.367992                   8.6544666e-10
               38.431831                   3.2302397e-10
                38.49567                  -1.1755757e-10
               38.559513                  -4.5479573e-10
               38.623352                   -6.885551e-10
               38.687191                  -8.2143226e-10
               38.751034                  -8.6041391e-10
               38.814873                   -8.067001e-10
               38.878712                  -6.6608463e-10
               38.942554                   -4.468543e-10
               39.006393                  -1.5482923e-10
               39.070232                   2.0107023e-10
               39.134075                   6.1516464e-10
               39.197914                   1.0779142e-09
               39.261753                   1.5799319e-09
               39.325596                   2.1142705e-09
               39.389435                    2.672186e-09
               39.453274                   3.2460206e-09
               39.517117                   3.8251433e-09
               39.580956                   4.4039483e-09
               39.644794                   4.9737761e-09
               39.708637                   5.5287717e-09
               39.772476                   6.0613847e-09
               39.836315                   6.5665962e-09
               39.900158                   7.0400339e-09
               39.963997                   7.4755704e-09
               40.027836                   7.8675857e-09
               40.091679                   8.2163529e-09
               40.155518                   8.5177154e-09
                40.21936                   8.7679082e-09
               40.283199                   8.9676853e-09
               40.347038                   9.1141299e-09
               40.410881                   9.2093462e-09
                40.47472                   9.2500265e-09
               40.538559                   9.2413828e-09
               40.602402                   9.1815204e-09
               40.666241                   9.0718997e-09
                40.73008                    8.915797e-09
               40.793922                   8.7133136e-09
               40.857761                    8.468958e-09
                 40.9216                   8.1824618e-09
               40.985443                   7.8609581e-09
               41.049282                   7.5025612e-09
               41.113121                   7.1149464e-09
               41.176964                   6.6975043e-09
               41.240803                   6.2544272e-09
               41.304642                   5.7882468e-09
               41.368484                   5.3033533e-09
               41.432323                   4.8009197e-09
               41.496162                   4.2848365e-09
               41.560005                   3.7576608e-09
               41.623844                   3.2215075e-09
               41.687683                   2.6775182e-09
               41.751526                   2.1299864e-09
               41.815365                   1.5787295e-09
               41.879204                   1.0285939e-09
               41.943047                   4.7796717e-10
               42.006886                  -6.9117545e-11
               42.070724                  -6.1335637e-10
               42.134567                  -1.1508384e-09
               42.198406                  -1.6835987e-09
               42.262245                  -2.2076374e-09
               42.326088                   -2.725479e-09
               42.389927                  -3.2330671e-09
               42.453766                  -3.7321906e-09
               42.517609                  -4.2206514e-09
               42.581448                  -4.6993591e-09
               42.645287                  -5.1663034e-09
               42.709129                  -5.6213598e-09
               42.772968                  -6.0664158e-09
               42.836807                  -6.4992678e-09
                42.90065                    -6.91771e-09
               42.964489                  -7.3251285e-09
               43.028328                  -7.7186746e-09
               43.092171                  -8.0991223e-09
                43.15601                  -8.4651974e-09
               43.219849                  -8.8156584e-09
               43.283691                    -9.15316e-09
                43.34753                  -9.4747907e-09
               43.411369                  -9.7781534e-09
               43.475212                  -1.0066192e-08
               43.539051                  -1.0335474e-08
                43.60289                  -1.0588888e-08
               43.666733                  -1.0820425e-08
               43.730572                  -1.1033519e-08
               43.794411                  -1.1224619e-08
               43.858253                  -1.1394673e-08
               43.922092                  -1.1541207e-08
               43.985931                  -1.1662181e-08
               44.049774                  -1.1760543e-08
               44.113613                  -1.1830773e-08
               44.177456                  -1.1874313e-08
               44.241295                  -1.1889373e-08
               44.305134                   -1.187368e-08
               44.368977                   -1.182655e-08
               44.432816                  -1.1748179e-08
               44.496655                  -1.1635925e-08
               44.560497                  -1.1489191e-08
               44.624336                  -1.1306267e-08
               44.688175                  -1.1088843e-08
               44.752018                  -1.0832236e-08
               44.815857                  -1.0537021e-08
               44.879696                  -1.0202575e-08
               44.943539                   -9.828474e-09
               45.007378                  -9.4151842e-09
               45.071217                  -8.9601917e-09
               45.135059                  -8.4655651e-09
               45.198898                   -7.929601e-09
               45.262737                  -7.3511197e-09
                45.32658                  -6.7352133e-09
               45.390419                  -6.0785053e-09
               45.454258                  -5.3832987e-09
               45.518101                  -4.6509876e-09
                45.58194                  -3.8838412e-09
               45.645779                  -3.0831733e-09
               45.709621                   -2.249827e-09
                45.77346                  -1.3895674e-09
               45.837299                  -5.0089771e-10
               45.901142                    4.083858e-10
               45.964981                   1.3370711e-09
                46.02882                   2.2804101e-09
