        Time / ns                i1 (Mesh Pass=5)/real
               53.408657                   3.6367968e-08
               53.477749                   3.8948041e-08
               53.546844                   4.1377742e-08
               53.615936                   4.3647383e-08
               53.685028                   4.5755453e-08
                53.75412                   4.7692907e-08
               53.823215                   4.9454894e-08
               53.892307                   5.1042985e-08
               53.961399                   5.2457032e-08
               54.030491                   5.3696557e-08
               54.099586                   5.4767661e-08
               54.168678                   5.5665538e-08
                54.23777                   5.6397905e-08
               54.306862                   5.6970482e-08
               54.375954                   5.7387883e-08
