Time (ns)	Input signal	Output signal
58.6	2.33E-32	-400.4729657
58.7	2.23E-32	-401.9009293
58.8	1.97E-32	-398.7882386
58.9	1.66E-32	-391.1651998
59	1.35E-32	-379.0011496
59.1	1.06E-32	-362.0922105
59.2	8.22E-33	-340.8803975
59.3	6.24E-33	-315.1306696
59.4	4.67E-33	-285.2008098
59.5	3.45E-33	-251.653686
59.6	2.52E-33	-213.9098562
59.7	1.81E-33	-173.3150647
59.8	1.30E-33	-129.6920401
59.9	9.15E-34	-83.58386087
60	6.40E-34	-35.91213989
60.1	4.44E-34	13.82954938
60.2	3.04E-34	64.02762658
60.3	2.07E-34	114.6772931
60.4	1.39E-34	165.2462446
60.5	9.24E-35	214.698303
60.6	6.07E-35	263.141125
60.7	3.93E-35	309.3542825
60.8	2.51E-35	353.2515634
60.9	1.57E-35	394.2355886
61	9.66E-36	431.5141289
61.1	5.77E-36	465.1756586
61.2	3.33E-36	494.3276825
61.3	1.82E-36	518.8542374
61.4	9.21E-37	538.467589
61.5	3.98E-37	552.7858188
61.6	1.10E-37	561.7348469
61.7	-3.78E-38	565.189164
61.8	-1.03E-37	563.0147488
61.9	-1.23E-37	555.2422633
62	-1.20E-37	542.0856265
62.1	-1.05E-37	523.3524053
62.2	-8.72E-38	499.6576787
62.3	-6.95E-38	470.8874643
62.4	-5.38E-38	437.425899
62.5	-4.07E-38	399.9575824
62.6	-3.02E-38	358.2089176
62.7	-2.21E-38	313.3803771
62.8	-1.59E-38	265.424178
62.9	-1.13E-38	214.9298479
63	-7.96E-39	162.976161
63.1	-5.54E-39	109.0234246
63.2	-3.81E-39	54.48718227
63.3	-2.60E-39	-0.324883313
63.4	-1.76E-39	-54.98592059
63.5	-1.18E-39	-108.4884234
63.6	-7.79E-40	-161.1131091
63.7	-5.11E-40	-211.5716491
63.8	-3.31E-40	-259.7308791
63.9	-2.12E-40	-305.3180827
64	-1.34E-40	-347.4672252
64.1	-8.37E-41	-386.2734299
64.2	-5.13E-41	-421.0577332
64.3	-3.09E-41	-451.7278433
64.4	-1.81E-41	-478.0360808
64.5	-1.03E-41	-499.6986167
64.6	-5.58E-42	-516.6885809
64.7	-2.83E-42	-528.8889012
64.8	-1.27E-42	-536.2298641
64.9	-4.26E-43	-538.7451389
65	4.63E-46	-536.6374235
65.1	1.90E-43	-529.6899011
65.2	2.52E-43	-518.4360271
65.3	2.49E-43	-502.8638393
65.4	2.19E-43	-483.1518899
65.5	1.79E-43	-459.883557
65.6	1.41E-43	-432.8841869
65.7	1.07E-43	-402.9632272
65.8	7.89E-44	-370.166145
65.9	5.73E-44	-334.8411549
66	4.09E-44	-297.7336585
66.1	2.87E-44	-258.731258
66.2	2.00E-44	-218.6516536
66.3	1.37E-44	-177.6631187
66.4	9.30E-45	-136.1327181
66.5	6.25E-45	-94.88829555
66.6	4.15E-45	-53.51231685
66.7	2.74E-45	-13.09144773
66.8	1.78E-45	26.32731984
66.9	1.15E-45	64.48809323
67	7.37E-46	100.7883363
67.1	4.66E-46	135.3677923
67.2	2.91E-46	167.6143484
67.3	1.80E-46	197.4504431
67.4	1.10E-46	224.770604
67.5	6.57E-47	249.235432
67.6	3.87E-47	270.8807844
67.7	2.22E-47	289.5172564
67.8	1.24E-47	305.1175511
67.9	6.66E-48	317.6566553
68	3.37E-48	327.1502159
68.1	1.55E-48	333.564484
68.2	5.76E-49	337.0661595
68.3	9.36E-50	337.664319
68.4	-1.22E-49	335.4654327
68.5	-1.96E-49	330.7652493
68.6	-2.02E-49	323.4223361
68.7	-1.78E-49	313.9148618
68.8	-1.44E-49	302.2965406
68.9	-1.11E-49	288.7063753
69	-8.29E-50	273.5942222
69.1	-6.01E-50	256.8677201
69.2	-4.26E-50	239.0598017
69.3	-2.97E-50	220.2285288
69.4	-2.04E-50	200.5953632
69.5	-1.38E-50	180.5092602
69.6	-9.26E-51	160.0648431
69.7	-6.13E-51	139.6248849
69.8	-4.02E-51	119.2213248
69.9	-2.60E-51	99.09943332
70	-1.67E-51	79.62361101
70.1	-1.06E-51	60.59411402
70.2	-6.70E-52	42.48734039
70.3	-4.18E-52	25.28868524
70.4	-2.58E-52	9.097190943
70.5	-1.57E-52	-5.902269603
70.6	-9.48E-53	-19.7724731
70.7	-5.64E-53	-32.35672207
70.8	-3.30E-53	-43.65733514
70.9	-1.90E-53	-53.6618258
71	-1.07E-53	-62.38194815
71.1	-5.87E-54	-69.79306781
71.2	-3.11E-54	-75.99554339
71.3	-1.56E-54	-80.98306474
71.4	-7.25E-55	-84.82775632
71.5	-2.88E-55	-87.67021307
71.6	-7.28E-56	-89.4496658
71.7	2.31E-56	-90.41215796
71.8	5.78E-56	-90.55357358
71.9	6.32E-56	-89.97140606
72	5.63E-56	-88.88395715
72.1	4.54E-56	-87.18197852
72.2	3.46E-56	-85.16731369
72.3	2.53E-56	-82.84026313
72.4	1.79E-56	-80.27178066
72.5	1.25E-56	-77.65021316
72.6	8.49E-57	-74.96576156
72.7	5.69E-57	-72.28379006
72.8	3.76E-57	-69.67909499
72.9	2.46E-57	-67.23210769
73	1.59E-57	-65.0026177
73.1	1.01E-57	-62.98603755
73.2	6.41E-58	-61.21462558
73.3	4.02E-58	-59.7104191
73.4	2.49E-58	-58.47769285
73.5	1.53E-58	-57.48829999
73.6	9.30E-59	-56.78779743
73.7	5.59E-59	-56.290806
73.8	3.33E-59	-56.00965132
73.9	1.96E-59	-55.91192787
74	1.14E-59	-55.92512371
74.1	6.51E-60	-56.08494446
74.2	3.66E-60	-56.30026383
74.3	2.02E-60	-56.51075658
74.4	1.09E-60	-56.68234754
74.5	5.67E-61	-56.78486521
74.6	2.83E-61	-56.79895517
74.7	1.31E-61	-56.66944447
74.8	5.41E-62	-56.35100432
74.9	1.66E-62	-55.83088427
75	-1.13E-65	-55.06581867
75.1	-6.25E-63	-54.06086499
75.2	-7.62E-63	-52.77228592
75.3	-6.93E-63	-51.21962531
75.4	-5.58E-63	-49.37878703
75.5	-4.20E-63	-47.26529833
