        Time / ns                Port1/real
               4.5440809                 -3.8524003e-014
               4.5472586                 -4.0589652e-014
               4.5504363                 -4.2773188e-014
                4.553614                 -4.5079946e-014
               4.5567916                 -4.7515557e-014
               4.5599693                 -5.0085677e-014
                4.563147                 -5.2796287e-014
               4.5663247                 -5.5653593e-014
               4.5695024                 -5.8663996e-014
                 4.57268                 -6.1833984e-014
               4.5758577                   -6.51704e-014
               4.5790354                  -6.868044e-014
               4.5822131                 -7.2371239e-014
               4.5853908                 -7.6250442e-014
               4.5885684                 -8.0326048e-014
               4.5917461                 -8.4606268e-014
               4.5949238                 -8.9099684e-014
               4.5981015                 -9.3815339e-014
               4.6012791                 -9.8762568e-014
               4.6044568                 -1.0395129e-013
               4.6076345                 -1.0939137e-013
               4.6108122                 -1.1509322e-013
               4.6139899                 -1.2106768e-013
               4.6171675                 -1.2732618e-013
               4.6203452                 -1.3388026e-013
               4.6235229                 -1.4074207e-013
               4.6267006                 -1.4792437e-013
               4.6298783                 -1.5544051e-013
               4.6330559                 -1.6330414e-013
               4.6362336                  -1.715294e-013
               4.6394113                 -1.8013103e-013
                4.642589                 -1.8912427e-013
               4.6457667                 -1.9852485e-013
               4.6489443                 -2.0834934e-013
                4.652122                 -2.1861483e-013
               4.6552997                 -2.2933898e-013
               4.6584774                 -2.4054013e-013
                4.661655                 -2.5223762e-013
               4.6648327                 -2.6445144e-013
               4.6680104                 -2.7720204e-013
               4.6743658                 -3.0439984e-013
               4.6807211                 -3.3401248e-013
               4.6870765                 -3.6623476e-013
               4.6934318                 -4.0127656e-013
               4.6997872                 -4.3936327e-013
               4.7061426                 -4.8073707e-013
               4.7124979                 -5.2565875e-013
               4.7188533                 -5.7440835e-013
               4.7252086                  -6.272873e-013
                4.731564                 -6.8461995e-013
               4.7379193                 -7.4675474e-013
               4.7442747                 -8.1406609e-013
               4.7506301                 -8.8573286e-013
               4.7538077                 -9.1846076e-013
               4.7569854                 -9.5339459e-013
               4.7601631                 -9.9052839e-013
               4.7633408                 -1.0300472e-012
               4.7665185                 -1.0719911e-012
               4.7696961                 -1.1164629e-012
               4.7728738                 -1.1635471e-012
               4.7760515                 -1.2133179e-012
               4.7792292                 -1.2658757e-012
               4.7824068                 -1.3213177e-012
               4.7855845                 -1.3797458e-012
               4.7887622                 -1.4412654e-012
               4.7919399                 -1.5059753e-012
               4.7951176                 -1.5739854e-012
               4.7982952                 -1.6454135e-012
               4.8014729                 -1.7203806e-012
               4.8046506                 -1.7990222e-012
               4.8078283                 -1.8814743e-012
                4.811006                 -1.9678756e-012
               4.8141836                 -2.0583699e-012
               4.8173613                 -2.1531061e-012
                4.820539                 -2.2522338e-012
               4.8268944                 -2.4642719e-012
               4.8332497                 -2.6957588e-012
               4.8396051                 -2.9480292e-012
               4.8459604                 -3.2225189e-012
               4.8523158                 -3.5207746e-012
               4.8586711                 -3.8444567e-012
               4.8650265                 -4.1952877e-012
               4.8713819                 -4.5751207e-012
               4.8761484                 -4.8801978e-012
               4.8825037                 -5.3156002e-012
               4.8888591                 -5.7857479e-012
               4.8952145                 -6.2929579e-012
               4.9015698                 -6.8396877e-012
               4.9079252                  -7.428551e-012
               4.9142805                  -8.062337e-012
               4.9206359                 -8.7440144e-012
               4.9269912                 -9.4767122e-012
               4.9333466                 -1.0263774e-011
                4.939702                 -1.1108739e-011
               4.9460573                 -1.2015349e-011
               4.9524127                 -1.2987569e-011
                4.958768                 -1.4029596e-011
               4.9651234                 -1.5145876e-011
               4.9714787                 -1.6341123e-011
               4.9778341                 -1.7620346e-011
               4.9841895                 -1.8988863e-011
               4.9905448                 -2.0452304e-011
               4.9969002                 -2.2016631e-011
               5.0000779                 -2.2834761e-011
               5.0032555                 -2.3532206e-011
               5.0096109                 -2.5049707e-011
               5.0159663                 -2.6739069e-011
               5.0223216                 -2.8611329e-011
                5.028677                 -3.0675296e-011
               5.0350323                 -3.2941133e-011
               5.0413877                 -3.5419833e-011
                5.047743                 -3.8122056e-011
               5.0540984                 -4.1060173e-011
               5.0604538                 -4.4248471e-011
               5.0668091                 -4.7701766e-011
               5.0731645                 -5.1435298e-011
               5.0795198                 -5.5464342e-011
               5.0858752                 -5.9804485e-011
               5.0922305                 -6.4472062e-011
               5.0985859                 -6.9484424e-011
               5.1049413                 -7.4860432e-011
               5.1112966                 -8.0619511e-011
                5.117652                 -8.6781543e-011
               5.1240073                 -9.3367537e-011
               5.1303627                 -1.0039983e-010
               5.1367181                 -1.0790241e-010
               5.1430734                 -1.1589948e-010
               5.1494288                 -1.2441614e-010
               5.1557841                 -1.3347899e-010
               5.1621395                 -1.4311571e-010
               5.1684948                 -1.5335613e-010
               5.1748502                 -1.6423059e-010
               5.1812056                  -1.757715e-010
               5.1875609                 -1.8801257e-010
               5.1939163                 -2.0098904e-010
               5.2002716                 -2.1473756e-010
                5.206627                 -2.2929626e-010
               5.2129823                 -2.4470511e-010
               5.2193377                  -2.610057e-010
               5.2256931                 -2.7824181e-010
               5.2320484                 -2.9645957e-010
               5.2384038                 -3.1570717e-010
               5.2447591                 -3.3603496e-010
               5.2479368                 -3.4662027e-010
               5.2495257                 -3.5202131e-010
               5.2511145                  -3.566619e-010
               5.2574699                 -3.7477463e-010
               5.2638252                  -3.946962e-010
               5.2701806                 -4.1651973e-010
               5.2765359                 -4.4031224e-010
               5.2828913                 -4.6613422e-010
               5.2892466                 -4.9406222e-010
                5.295602                  -5.241619e-010
               5.3019574                 -5.5651105e-010
               5.3083127                 -5.9120944e-010
               5.3146681                 -6.2836348e-010
               5.3210234                 -6.6808363e-010
               5.3273788                  -7.104709e-010
               5.3337341                 -7.5562683e-010
               5.3400895                 -8.0364988e-010
               5.3464449                 -8.5464479e-010
               5.3528002                  -9.087282e-010
               5.3591556                 -9.6602402e-010
               5.3655109                 -1.0266466e-009
               5.3718663                 -1.0907207e-009
               5.3782217                  -1.158372e-009
                5.384577                 -1.2297468e-009
               5.3909324                 -1.3049839e-009
               5.3972877                 -1.3842216e-009
               5.4036431                 -1.4676061e-009
               5.4099984                 -1.5552836e-009
               5.4163538                  -1.647421e-009
               5.4227092                 -1.7441784e-009
               5.4290645                 -1.8457274e-009
               5.4354199                 -1.9522459e-009
               5.4417752                 -2.0639189e-009
               5.4481306                 -2.1809324e-009
                5.454486                  -2.303477e-009
               5.4608413                 -2.4317495e-009
               5.4671967                 -2.5659504e-009
                5.473552                 -2.7062889e-009
               5.4799074                 -2.8529863e-009
               5.4862627                 -3.0062728e-009
               5.4926181                 -3.1663857e-009
               5.4989735                 -3.3335691e-009
               5.5005623                 -3.3727729e-009
               5.5021511                 -3.4051915e-009
               5.5053288                 -3.4725928e-009
               5.5116842                 -3.6153956e-009
               5.5180395                 -3.7699808e-009
               5.5243949                 -3.9365527e-009
               5.5307502                 -4.1152036e-009
               5.5371056                 -4.3061917e-009
                5.543461                 -4.5097116e-009
               5.5498163                 -4.7259113e-009
               5.5561717                 -4.9551036e-009
                5.562527                 -5.1977222e-009
               5.5688824                 -5.4541967e-009
               5.5752378                 -5.7249013e-009
               5.5815931                 -6.0101713e-009
               5.5879485                 -6.3102612e-009
               5.5943038                 -6.6254677e-009
               5.6006592                 -6.9561278e-009
               5.6070145                 -7.3026671e-009
               5.6133699                 -7.6654039e-009
               5.6197253                 -8.0446932e-009
               5.6260806                 -8.4408537e-009
                5.632436                 -8.8543485e-009
               5.6387913                 -9.2856121e-009
                5.651502                 -1.0202939e-008
               5.6642128                 -1.1195937e-008
               5.6769235                 -1.2268158e-008
               5.6896342                 -1.3423388e-008
               5.7023449                  -1.466563e-008
               5.7150556                 -1.5998805e-008
               5.7277663                  -1.742687e-008
               5.7404771                 -1.8954297e-008
               5.7468324                 -1.9756748e-008
               5.7500101                  -2.016757e-008
               5.7531878                 -2.0463593e-008
               5.7658985                 -2.1752481e-008
               5.7786092                   -2.32135e-008
               5.7913199                 -2.4845868e-008
               5.8040306                 -2.6647474e-008
               5.8167414                 -2.8620577e-008
               5.8294521                 -3.0770973e-008
               5.8421628                 -3.3100144e-008
               5.8548735                 -3.5608641e-008
               5.8675842                 -3.8299108e-008
               5.8802949                 -4.1172373e-008
               5.8930056                 -4.4231934e-008
               5.9057164                 -4.7479439e-008
               5.9184271                  -5.091665e-008
               5.9311378                 -5.4546694e-008
               5.9438485                 -5.8373543e-008
               5.9565592                 -6.2400909e-008
               5.9692699                 -6.6631383e-008
               5.9819807                 -7.1067357e-008
               5.9946914                 -7.5713359e-008
               5.9978691                 -7.6908222e-008
               6.0010467                 -7.7986948e-008
               6.0074021                  -7.955043e-008
               6.0201128                 -8.2978955e-008
               6.0328235                 -8.6761757e-008
               6.0455342                 -9.0873675e-008
                6.058245                 -9.5287833e-008
               6.0709557                 -9.9999223e-008
               6.0836664                 -1.0500395e-007
               6.0963771                   -1.10284e-007
               6.1090878                 -1.1582532e-007
               6.1217985                 -1.2161489e-007
                 6.14722                 -1.3388778e-007
               6.1726414                 -1.4700877e-007
               6.1980628                 -1.6090109e-007
               6.2234843                 -1.7550868e-007
               6.2489057                 -1.9075655e-007
               6.2520834                 -1.9219018e-007
