Time (ns)	Input signal	Output signal
59.6	2.52E-33	32.97512481
59.7	1.81E-33	31.20807175
59.8	1.30E-33	29.04138711
59.9	9.15E-34	26.50375102
60	6.40E-34	23.61310552
60.1	4.44E-34	20.38993011
60.2	3.04E-34	16.87980178
60.3	2.07E-34	13.11093039
60.4	1.39E-34	9.12278833
60.5	9.24E-35	4.977132452
60.6	6.07E-35	0.696000758
60.7	3.93E-35	-3.644445469
60.8	2.51E-35	-8.00339856
60.9	1.57E-35	-12.33750422
61	9.66E-36	-16.56300886
61.1	5.77E-36	-20.65526087
61.2	3.33E-36	-24.54575914
61.3	1.82E-36	-28.17334625
61.4	9.21E-37	-31.5224691
61.5	3.98E-37	-34.50334833
61.6	1.10E-37	-37.11628963
61.7	-3.78E-38	-39.30450374
61.8	-1.03E-37	-41.02255071
61.9	-1.23E-37	-42.28257065
62	-1.20E-37	-43.02607293
62.1	-1.05E-37	-43.26444254
62.2	-8.72E-38	-42.9933368
62.3	-6.95E-38	-42.19059668
62.4	-5.38E-38	-40.89754526
62.5	-4.07E-38	-39.11220023
62.6	-3.02E-38	-36.85177659
62.7	-2.21E-38	-34.17346026
62.8	-1.59E-38	-31.083877
62.9	-1.13E-38	-27.64479767
63	-7.96E-39	-23.91529525
63.1	-5.54E-39	-19.90975919
63.2	-3.81E-39	-15.73410652
63.3	-2.60E-39	-11.41997068
63.4	-1.76E-39	-7.031267745
63.5	-1.18E-39	-2.671355931
63.6	-7.79E-40	1.660691135
63.7	-5.11E-40	5.840368206
63.8	-3.31E-40	9.821674937
63.9	-2.12E-40	13.56323574
64	-1.34E-40	16.96651192
64.1	-8.37E-41	20.02325268
64.2	-5.13E-41	22.66118865
64.3	-3.09E-41	24.82689316
64.4	-1.81E-41	26.51993411
64.5	-1.03E-41	27.68925267
64.6	-5.58E-42	28.3107285
64.7	-2.83E-42	28.4116442
64.8	-1.27E-42	27.94047806
64.9	-4.26E-43	26.94517762
65	4.63E-46	25.44745943
65.1	1.90E-43	23.41084814
65.2	2.52E-43	20.96431629
65.3	2.49E-43	18.0709481
65.4	2.19E-43	14.82017323
65.5	1.79E-43	11.3074655
65.6	1.41E-43	7.45890105
65.7	1.07E-43	3.494813656
65.8	7.89E-44	-0.581284271
65.9	5.73E-44	-4.700187977
66	4.09E-44	-8.725163254
66.1	2.87E-44	-12.71227878
66.2	2.00E-44	-16.43874229
66.3	1.37E-44	-19.92600476
66.4	9.30E-45	-23.0732887
66.5	6.25E-45	-25.78764326
66.6	4.15E-45	-28.08524854
66.7	2.74E-45	-29.83807008
66.8	1.78E-45	-31.04350977
66.9	1.15E-45	-31.64950899
67	7.37E-46	-31.638106
67.1	4.66E-46	-30.96960332
67.2	2.91E-46	-29.6666871
67.3	1.80E-46	-27.70561991
67.4	1.10E-46	-25.09814073
67.5	6.57E-47	-21.91896512
67.6	3.87E-47	-18.07054679
67.7	2.22E-47	-13.7368624
67.8	1.24E-47	-8.871146329
67.9	6.66E-48	-3.547757612
68	3.37E-48	2.083812797
68.1	1.55E-48	8.172214538
68.2	5.76E-49	14.4124651
68.3	9.36E-50	20.85846872
68.4	-1.22E-49	27.41480574
68.5	-1.96E-49	33.92864461
68.6	-2.02E-49	40.48098937
68.7	-1.78E-49	46.80332472
68.8	-1.44E-49	52.94694331
68.9	-1.11E-49	58.80190409
69	-8.29E-50	64.25466103
69.1	-6.01E-50	69.34486926
69.2	-4.26E-50	73.88460884
69.3	-2.97E-50	77.90576481
69.4	-2.04E-50	81.32767355
