        Frequency / MHz                S2,2 (Mesh Pass=6)/abs,dB
                  243.84                      -16.835113
               244.10001                      -16.824637
                  244.36                      -16.813969
                  244.62                      -16.803107
                  244.88                      -16.792056
                  245.14                      -16.780817
               245.39999                      -16.769403
                  245.66                      -16.757818
                  245.92                      -16.746071
               246.17999                      -16.734163
                  246.44                      -16.722093
                   246.7                       -16.70986
               246.96001                      -16.697464
                  247.22                       -16.68491
                  247.48                      -16.672204
               247.74001                      -16.659358
                     248                      -16.646378
               248.25999                      -16.633271
                  248.52                      -16.620039
                  248.78                      -16.606677
               249.03999                      -16.593189
                   249.3                      -16.579574
                  249.56                      -16.565842
               249.81999                      -16.551998
                  250.08                      -16.538056
                  250.34                       -16.52402
               250.60001                      -16.509897
                  250.86                      -16.495685
                  251.12                      -16.481385
                  251.38                      -16.466996
                  251.64                      -16.452522
               251.89999                      -16.437973
                  252.16                      -16.423358
                  252.42                      -16.408685
               252.67999                      -16.393962
                  252.94                      -16.379191
                   253.2                      -16.364372
               253.46001                      -16.349502
                  253.72                      -16.334588
                  253.98                       -16.31963
               254.24001                      -16.304642
                   254.5                       -16.28963
               254.75999                      -16.274603
                  255.02                      -16.259569
                  255.28                      -16.244526
               255.53999                      -16.229474
                   255.8                      -16.214414
                  256.06                      -16.199349
               256.32001                      -16.184285
               256.57999                      -16.169232
                  256.84                      -16.154202
               257.10001                      -16.139199
               257.35999                      -16.124228
                  257.62                       -16.10929
                  257.88                      -16.094383
               258.13998                      -16.079509
               258.39999                      -16.064672
                  258.66                      -16.049882
               258.92001                      -16.035148
               259.17999                      -16.020479
                  259.44                      -16.005882
               259.70001                      -15.991358
               259.95999                      -15.976908
                  260.22                      -15.962531
               260.48001                      -15.948229
               260.73999                      -15.934008
                     261                      -15.919878
               261.26001                      -15.905847
               261.51999                      -15.891925
                  261.78                      -15.878114
               262.04001                      -15.864413
               262.29999                      -15.850821
                  262.56                      -15.837334
               262.82001                      -15.823955
               263.07999                      -15.810687
                  263.34                      -15.797536
               263.60001                      -15.784507
               263.85999                      -15.771599
                  264.12                      -15.758809
                  264.38                      -15.746127
               264.63998                      -15.733542
               264.89999                      -15.721043
                  265.16                      -15.708622
               265.42001                      -15.696274
               265.67999                      -15.683992
                  265.94                      -15.671766
               266.20001                      -15.659583
               266.45999                      -15.647422
                  266.72                      -15.635263
               266.98001                      -15.623082
               267.23999                      -15.610857
                   267.5                      -15.598578
               267.76001                      -15.586229
               268.01999                      -15.573804
                  268.28                      -15.561288
               268.54001                       -15.54867
               268.79999                      -15.535939
                  269.06                      -15.523078
               269.32001                      -15.510082
               269.57999                      -15.496949
                  269.84                      -15.483687
               270.10001                      -15.470303
               270.35999                      -15.456811
                  270.62                      -15.443221
                  270.88                      -15.429544
               271.13998                      -15.415784
               271.39999                       -15.40195
                  271.66                      -15.388053
               271.92001                      -15.374109
               272.17999                      -15.360136
                  272.44                      -15.346155
               272.70001                      -15.332185
               272.95999                      -15.318234
                  273.22                      -15.304315
               273.48001                      -15.290427
               273.73999                      -15.276581
                     274                      -15.262781
               274.26001                       -15.24904
               274.51999                      -15.235368
                  274.78                      -15.221779
               275.04001                       -15.20828
               275.29999                      -15.194874
                  275.56                       -15.18156
               275.82001                      -15.168336
               276.07999                      -15.155198
                  276.34                      -15.142153
               276.60001                      -15.129203
               276.85999                      -15.116359
                  277.12                      -15.103622
                  277.38                      -15.090997
               277.63998                      -15.078477
               277.89999                      -15.066059
                  278.16                      -15.053734
               278.42001                      -15.041501
               278.67999                      -15.029362
                  278.94                      -15.017324
               279.20001                      -15.005392
               279.45999                      -14.993572
                  279.72                      -14.981862
               279.98001                      -14.970256
               280.23999                      -14.958747
                   280.5                      -14.947329
               280.76001                      -14.936001
               281.01999                      -14.924767
                  281.28                      -14.913631
               281.54001                      -14.902601
               281.79999                      -14.891677
                  282.06                       -14.88086
               282.32001                      -14.870139
               282.57999                       -14.85951
                  282.84                      -14.848969
               283.10001                      -14.838516
               283.35999                      -14.828157
                  283.62                      -14.817899
                  283.88                      -14.807748
               284.13998                      -14.797704
               284.39999                      -14.787762
                  284.66                      -14.777918
               284.92001                      -14.768166
               285.17999                      -14.758503
                  285.44                      -14.748932
               285.70001                      -14.739463
               285.95999                      -14.730102
                  286.22                      -14.720853
               286.48001                      -14.711717
               286.73999                      -14.702689
                     287                      -14.693763
               287.26001                      -14.684934
               287.51999                      -14.676204
                  287.78                      -14.667579
               288.04001                      -14.659066
               288.29999                      -14.650675
                  288.56                      -14.642408
               288.82001                      -14.634264
               289.07999                      -14.626238
                  289.34                      -14.618324
               289.60001                      -14.610519
               289.85999                      -14.602828
                  290.12                      -14.595258
                  290.38                      -14.587818
               290.63998                      -14.580515
               290.89999                      -14.573351
                  291.16                      -14.566323
               291.42001                      -14.559425
               291.67999                      -14.552651
                  291.94                      -14.546001
               292.20001                      -14.539481
               292.45999                      -14.533098
                  292.72                      -14.526862
               292.98001                      -14.520778
               293.23999                      -14.514843
                   293.5                      -14.509054
               293.76001                      -14.503401
               294.01999                      -14.497881
                  294.28                      -14.492492
               294.54001                      -14.487243
               294.79999                      -14.482139
                  295.06                      -14.477189
               295.32001                      -14.472394
               295.57999                      -14.467747
                  295.84                      -14.463241
               296.10001                      -14.458865
               296.35999                      -14.454615
                  296.62                      -14.450492
                  296.88                        -14.4465
               297.13998                      -14.442647
               297.39999                      -14.438936
                  297.66                      -14.435361
               297.92001                      -14.431917
               298.17999                      -14.428589
                  298.44                      -14.425368
               298.70001                      -14.422246
               298.95999                      -14.419229
                  299.22                      -14.416319
               299.48001                      -14.413521
               299.73999                      -14.410835
                     300                      -14.408255

