        Frequency / MHz                S1,1 (21)/abs,dB
                  182.48                      -22.250909
               182.74001                      -22.103421
                     183                      -21.965044
               183.25999                      -21.835913
                  183.52                      -21.716161
                  183.78                      -21.605932
               184.03999                      -21.505333
                   184.3                      -21.414394
                  184.56                      -21.333057
               184.81999                      -21.261236
                  185.08                      -21.198893
                  185.34                      -21.146068
               185.60001                      -21.102842
                  185.86                      -21.069232
                  186.12                      -21.045103
                  186.38                      -21.030151
                  186.64                      -21.024003
               186.89999                      -21.026346
                  187.16                      -21.037023
                  187.42                      -21.055951
               187.67999                      -21.082921
                  187.94                      -21.117336
                   188.2                      -21.158112
               188.46001                      -21.203815
                  188.72                      -21.253023
                  188.98                      -21.304754
               189.24001                      -21.358678
                   189.5                      -21.414964
               189.75999                       -21.47382
                  190.02                      -21.534928
                  190.28                      -21.597141
               190.53999                      -21.658613
                   190.8                      -21.717335
                  191.06                      -21.771798
               191.31999                      -21.821384
                  191.58                      -21.866284
                  191.84                      -21.906979
               192.10001                      -21.943635
                  192.36                       -21.97575
                  192.62                      -22.002282
                  192.88                      -22.022118
                  193.14                      -22.034594
               193.39999                      -22.039704
                  193.66                      -22.037913
                  193.92                      -22.029706
               194.17999                      -22.015226
                  194.44                       -21.99422
                   194.7                      -21.966323
               194.96001                      -21.931441
                  195.22                      -21.889971
                  195.48                      -21.842687
               195.74001                      -21.790383
                     196                      -21.733518
               196.25999                      -21.672108
                  196.52                      -21.605932
                  196.78                      -21.534893
               197.03999                        -21.4593
                   197.3                      -21.379915
                  197.56                      -21.297743
               197.81999                      -21.213758
                  198.08                      -21.128749
                  198.34                      -21.043366
               198.60001                      -20.958317
                  198.86                      -20.874521
                  199.12                        -20.7931
                  199.38                      -20.715193
                  199.64                      -20.641709
               199.89999                      -20.573193
                  200.16                       -20.50986
                  200.42                       -20.45181
               200.67999                      -20.399237
                  200.94                       -20.35253
                   201.2                      -20.312189
               201.46001                       -20.27864
                  201.72                      -20.252065
                  201.98                      -20.232388
               202.24001                      -20.219404
                   202.5                      -20.212982
               202.75999                       -20.21319
                  203.02                      -20.220281
                  203.28                      -20.234527
               203.53999                       -20.25604
                   203.8                      -20.284684
                  204.06                      -20.320147
               204.31999                      -20.362117
                  204.58                      -20.410448
                  204.84                      -20.465207
               205.10001                      -20.526545
                  205.36                      -20.594513
                  205.62                      -20.668916
                  205.88                      -20.749311
                  206.14                      -20.835162
               206.39999                      -20.926033
                  206.66                      -21.021693
                  206.92                      -21.122055
               207.17999                      -21.226983
                  207.44                      -21.336088
                   207.7                      -21.448665
               207.96001                      -21.563791
                  208.22                      -21.680549
                  208.48                      -21.798201
               208.74001                      -21.916222
                     209                      -22.034123
               209.25999                      -22.151215
                  209.52                      -22.266452
                  209.78                      -22.378478
               210.03999                      -22.485861
                   210.3                      -22.587374
                  210.56                      -22.682162
               210.81999                      -22.769671
                  211.08                      -22.849421
                  211.34                      -22.920745
               211.60001                      -22.982679
                  211.86                      -23.034099
                  212.12                      -23.074005
                  212.38                      -23.101841
                  212.64                      -23.117661
               212.89999                      -23.122092
                  213.16                      -23.116107
                  213.42                      -23.100725
               213.67999                      -23.076736
                  213.94                      -23.044551
                   214.2                      -23.004219
               214.46001                      -22.955576
                  214.72                      -22.898495
                  214.98                      -22.833142
               215.24001                      -22.760114
                   215.5                      -22.680413
               215.75999                      -22.595262
                  216.02                      -22.505837
                  216.28                      -22.413085
               216.53999                      -22.317692
                   216.8                      -22.220238
                  217.06                        -22.1214
               217.31999                      -22.022081
                  217.58                      -21.923374
                  217.84                      -21.826351
               218.10001                      -21.731832
                  218.36                      -21.640266
                  218.62                      -21.551792
                  218.88                      -21.466458
                  219.14                      -21.384439
               219.39999                      -21.306125
                  219.66                      -21.232021
                  219.92                      -21.162549
               220.17999                      -21.097857
                  220.44                      -21.037805
                   220.7                      -20.982119
               220.96001                      -20.930602
                  221.22                      -20.883298
                  221.48                       -20.84046
               221.74001                      -20.802372
                     222                      -20.769137
               222.25999                      -20.740579
                  222.52                      -20.716325
                  222.78                      -20.696025
               223.03999                      -20.679542
                   223.3                      -20.667003
                  223.56                      -20.658656
               223.81999                      -20.654635
                  224.08                      -20.654801
                  224.34                      -20.658749
               224.60001                      -20.666013
                  224.86                      -20.676297
                  225.12                      -20.689596
                  225.38                      -20.706109
                  225.64                      -20.725991
               225.89999                       -20.74911
                  226.16                      -20.775004
                  226.42                      -20.803025
               226.67999                       -20.83264
                  226.94                       -20.86363
                   227.2                      -20.896072
               227.46001                      -20.930086
                  227.72                      -20.965514
                  227.98                      -21.001758
               228.24001                      -21.037899
                   228.5                      -21.073038
               228.75999                      -21.106639
                  229.02                      -21.138631
                  229.28                      -21.169184
               229.53999                      -21.198272
                   229.8                      -21.225319
                  230.06                      -21.249171
               230.31999                      -21.268452
                  230.58                      -21.282118
                  230.84                      -21.289866
               231.10001                      -21.292172
                  231.36                      -21.289889
                  231.62                      -21.283681
                  231.88                      -21.273604
                  232.14                      -21.259058
               232.39999                      -21.239116
                  232.66                      -21.213016
                  232.92                      -21.180489
               233.17999                      -21.141802
                  233.44                      -21.097507
                   233.7                        -21.0481
               233.96001                      -20.993814
                  234.22                      -20.934623
                  234.48                      -20.870428
               234.74001                      -20.801261
                     235                      -20.727371
               235.25999                      -20.649189
                  235.52                      -20.567217
                  235.78                      -20.481941
               236.03999                      -20.393825
                   236.3                       -20.30336
                  236.56                      -20.211104
               236.81999                      -20.117679
                  237.08                      -20.023702
                  237.34                      -19.929734
               237.60001                       -19.83626
                  237.86                      -19.743723
                  238.12                      -19.652577
                  238.38                       -19.56331
                  238.64                      -19.476409
               238.89999                      -19.392299
                  239.16                      -19.311301
                  239.42                      -19.233643
               239.67999                      -19.159513
                  239.94                      -19.089128
                   240.2                      -19.022754
               240.46001                      -18.960667
                  240.72                      -18.903082
                  240.98                      -18.850098
               241.24001                      -18.801711
                   241.5                      -18.757877
               241.75999                       -18.71859
                  242.02                      -18.683917
                  242.28                      -18.653975
               242.53999                      -18.628837
                   242.8                      -18.608484
                  243.06                      -18.592787
               243.31999                      -18.581569
                  243.58                      -18.574705
                  243.84                      -18.572166
               244.10001                      -18.574001
                  244.36                      -18.580254
                  244.62                      -18.590876
                  244.88                      -18.605691
                  245.14                      -18.624455
               245.39999                      -18.646946
                  245.66                      -18.673041
                  245.92                      -18.702717
               246.17999                      -18.735959
                  246.44                      -18.772661
                   246.7                      -18.812566
               246.96001                      -18.855305
                  247.22                      -18.900503
                  247.48                      -18.947876
               247.74001                      -18.997255
                     248                      -19.048508
               248.25999                      -19.101413
                  248.52                       -19.15558
                  248.78                      -19.210467
               249.03999                      -19.265501
                   249.3                        -19.3202
                  249.56                      -19.374224
               249.81999                       -19.42731
                  250.08                       -19.47913
                  250.34                      -19.529193
               250.60001                      -19.576838
                  250.86                      -19.621379
                  251.12                      -19.662249
                  251.38                      -19.699085
                  251.64                      -19.731679
               251.89999                       -19.75982
                  252.16                      -19.783164
                  252.42                      -19.801221
               252.67999                      -19.813482
                  252.94                      -19.819594
                   253.2                      -19.819446
               253.46001                      -19.813116
                  253.72                      -19.800686
                  253.98                      -19.782085
               254.24001                      -19.757056
                   254.5                      -19.725294
               254.75999                      -19.686632
                  255.02                      -19.641173
                  255.28                      -19.589235
               255.53999                      -19.531186
                   255.8                      -19.467263
                  256.06                       -19.39754
               256.32001                      -19.322044
               256.57999                      -19.240959
                  256.84                      -19.154736
               257.10001                      -19.064054
               257.35999                      -18.969627
                  257.62                      -18.872021
                  257.88                      -18.771585
               258.13998                       -18.66857
               258.39999                      -18.563309
                  258.66                       -18.45636
               258.92001                      -18.348476
               259.17999                      -18.240428
                  259.44                      -18.132824
               259.70001                      -18.026015
               259.95999                      -17.920195
                  260.22                      -17.815587
               260.48001                        -17.7126
               260.73999                      -17.611824
                     261                      -17.513874
               261.26001                      -17.419188
               261.51999                      -17.327912
                  261.78                      -17.239963
               262.04001                      -17.155232
               262.29999                      -17.073763
                  262.56                      -16.995812
               262.82001                      -16.921712
               263.07999                      -16.851653
                  263.34                      -16.785537
               263.60001                      -16.723007
               263.85999                      -16.663657
                  264.12                      -16.607294
                  264.38                      -16.554041
               264.63998                      -16.504238
               264.89999                      -16.458159
                  265.16                      -16.415757
               265.42001                      -16.376592
               265.67999                      -16.340048
                  265.94                      -16.305692
               266.20001                      -16.273569
               266.45999                      -16.244231
                  266.72                      -16.218453
               266.98001                      -16.196775
               267.23999                      -16.179169
                   267.5                      -16.164984
               267.76001                      -16.153251
               268.01999                      -16.143155
                  268.28                      -16.134406
               268.54001                      -16.127316
               268.79999                      -16.122539
                  269.06                      -16.120648
               269.32001                      -16.121823
               269.57999                      -16.125782
                  269.84                      -16.132014
               270.10001                      -16.140084
               270.35999                       -16.14987
                  270.62                      -16.161544
                  270.88                      -16.175373
               271.13998                      -16.191468
               271.39999                      -16.209678
                  271.66                      -16.229663
               271.92001                      -16.251108
               272.17999                      -16.273889
                  272.44                      -16.298099
               272.70001                      -16.323917
               272.95999                      -16.351413
                  273.22                      -16.380445
               273.48001                      -16.410707
               273.73999                      -16.441904
                     274                      -16.473907
               274.26001                       -16.50679
               274.51999                       -16.54072
                  274.78                      -16.575769
               275.04001                      -16.611812
               275.29999                      -16.648561
                  275.56                       -16.68572
               275.82001                      -16.723151
               276.07999                      -16.760923
                  276.34                      -16.799202
               276.60001                      -16.838081
               276.85999                      -16.877441
                  277.12                      -16.916976
                  277.38                      -16.956353
               277.63998                      -16.995383
               277.89999                      -17.034098
                  278.16                      -17.072656
               278.42001                      -17.111156
               278.67999                      -17.149488
                  278.94                      -17.187338
               279.20001                       -17.22434
               279.45999                      -17.260269
                  279.72                      -17.295146
               279.98001                      -17.329158
               280.23999                      -17.362455
                   280.5                      -17.394981
               280.76001                      -17.426445
               281.01999                      -17.456469
                  281.28                      -17.484811
               281.54001                      -17.511484
               281.79999                      -17.536703
                  282.06                      -17.560682
               282.32001                       -17.58342
               282.57999                      -17.604651
                  282.84                      -17.623992
               283.10001                      -17.641167
               283.35999                      -17.656178
                  283.62                      -17.669273
                  283.88                      -17.680728
               284.13998                      -17.690626
               284.39999                      -17.698763
                  284.66                      -17.704769
               284.92001                      -17.708358
               285.17999                      -17.709532
                  285.44                      -17.708575
               285.70001                      -17.705846
               285.95999                      -17.701516
                  286.22                      -17.695431
               286.48001                      -17.687204
               286.73999                      -17.676469
                     287                       -17.66312
               287.26001                      -17.647356
               287.51999                      -17.629496
                  287.78                      -17.609702
               288.04001                      -17.587797
               288.29999                      -17.563316
                  288.56                      -17.535767
               288.82001                      -17.504914
               289.07999                      -17.470905
                  289.34                      -17.434143
               289.60001                      -17.395014
               289.85999                      -17.353633
                  290.12                      -17.309799
                  290.38                      -17.263161
               290.63998                      -17.213478
               290.89999                      -17.160798
                  291.16                      -17.105448
               291.42001                      -17.047871
               291.67999                      -16.988442
                  291.94                      -16.927374
               292.20001                      -16.864779
               292.45999                      -16.800792
                  292.72                      -16.735633
               292.98001                      -16.669569
               293.23999                      -16.602804
                   293.5                      -16.535389
               293.76001                      -16.467251
               294.01999                      -16.398341
                  294.28                      -16.328762
               294.54001                      -16.258815
               294.79999                      -16.188886
                  295.06                      -16.119258
               295.32001                      -16.049979
               295.57999                      -15.980879
                  295.84                      -15.911747
               296.10001                      -15.842533
               296.35999                      -15.773439
                  296.62                      -15.704834
                  296.88                      -15.637043
               297.13998                      -15.570166
               297.39999                      -15.504052
                  297.66                      -15.438446
               297.92001                      -15.373222
               298.17999                      -15.308524
                  298.44                      -15.244723
               298.70001                      -15.182215
               298.95999                      -15.121206
                  299.22                      -15.061629
               299.48001                      -15.003262
               299.73999                      -14.945953
                     300                      -14.889807

